Series,Episode,Baker,Signature Bake,Show Stopper
2,2,Jason,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts
2,2,"""Jo""","Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust
2,2,Mary-Anne,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
2,2,Robert,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart"
2,2,Simon,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
2,2,Urvashi,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts
2,2,Yasmin,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
2,3,Ben,"Walnut, Raisin and Rosemary Loaf",UNKNOWN
2,3,Holly,Picnic Loaf,Stilton and Walnut Rolls
2,3,Ian,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs
2,3,Janet,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
2,3,Jason,Cheese and Onion Tear and Share Loaf,UNKNOWN
2,3,"""Jo""","Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown
2,3,Mary-Anne,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns
2,3,Robert,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls
2,3,Urvashi,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
2,3,Yasmin,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls"
2,4,Ben,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
2,4,Holly,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
2,4,Janet,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
2,4,Jason,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
2,4,"""Jo""",Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons
2,4,Mary-Anne,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
2,4,Robert,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
2,4,Yasmin,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
2,5,Holly,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie
2,5,Janet,Chicken and Chestnut Pie,Rhubarb Meringue Pie
2,5,Jason,Brown Down Chicken Pie,Plum Meringue Pie
2,5,"""Jo""",Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie
2,5,Mary-Anne,Chicken and Bacon Pie,Midnight Meringue
2,5,Robert,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie
2,5,Yasmin,Family Fish Pie,Peach and Raspberry Meringue Pie
2,6,Holly,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche
2,6,Janet,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche
2,6,"""Jo""",Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche
2,6,Mary-Anne,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel
2,6,Yasmin,Baked Amaretto Cheesecake,Rose Croquembouche
2,7,Holly,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
2,7,Janet,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat
2,7,"""Jo""",Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries
2,7,Mary-Anne,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes
2,8,Holly,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
2,8,"""Jo""",Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse"
2,8,Mary-Anne,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub
3,1,Brendan,"Plum, Sour Cherry & Walnut",UNKNOWN
3,1,Cathryn,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake
3,1,Danny,"Plum, Ginger & Orange",UNKNOWN
3,1,James,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake"
3,1,John,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake
3,1,Manisha,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart
3,1,Natasha,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake
3,1,Peter,"Pear, Muscat & Chocolate",Jubilee Cake
3,1,Ryan,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake
3,1,Sarah-Jane,"Pear, Chocolate and Hazelnut",Hidden Crown Cake
3,1,Stuart,Tomato and Ginger,Lemon and Pistachio Union Flag Cake
3,1,Victoria,Pear and Pecan,Blackbird Pie Cake
3,2,Brendan,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
3,2,Cathryn,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
3,2,Danny,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN
3,2,James,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels"
3,2,John,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels"
3,2,Manisha,Indian FlatbreadsItalian Flatbreads,UNKNOWN
3,2,Peter,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels"
3,2,Ryan,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels"
3,2,Sarah-Jane,Toasted Coconut and Lime RotisOatcakes,UNKNOWN
3,2,Stuart,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels"
3,2,Victoria,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels"
3,3,Brendan,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart"
3,3,Cathryn,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart"
3,3,Danny,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart"
3,3,James,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart"
3,3,John,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
3,3,Manisha,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart
3,3,Ryan,Spiced Pear Tarte Tatin,UNKNOWN
3,3,Sarah-Jane,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam
3,3,Stuart,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart
3,3,Victoria,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust
3,4,Brendan,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
3,4,Cathryn,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
3,4,Danny,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
3,4,James,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue"
3,4,John,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova
3,4,Manisha,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert
3,4,Ryan,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue"
3,4,Sarah-Jane,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue
3,4,Stuart,Black Forest Torte,Choca Blocka Mocha Meringue
3,5,Brendan,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie
3,5,Cathryn,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie
3,5,Danny,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie
3,5,James,Four Pig Wellington,Sweet Potato Pie
3,5,John,Venison and Haggis Wellington,Star-Spangled Pecan Pie
3,5,Manisha,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie
3,5,Ryan,Curry Spiced Seabass Wellington,Key Lime Pie
3,5,Sarah-Jane,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie
3,6,Brendan,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
3,6,Cathryn,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel
3,6,Danny,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel"
3,6,James,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel"
3,6,John,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury
3,6,Ryan,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
3,6,Sarah-Jane,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries
3,7,Brendan,Chelsea Bunskis,Black Forest Christmas Stollen
3,7,Cathryn,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche
3,7,Danny,Bakewell Chelsea Buns,European Christmas Wreath
3,7,James,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba
3,7,John,Cherry and Almond Saffron Buns,Marzipan Stollen
3,7,Ryan,Lardy Cakes,Char Siu Bao
3,7,Sarah-Jane,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait
3,8,Brendan,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House
3,8,Cathryn,Cheese and Pickle Crackers,Gingerbread Buckingham Palace
3,8,Danny,Spiced Almond Drinks Crackers,Gingerbread Big Ben
3,8,James,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn
3,8,John,Asian Spice Crackers,Gingerbread Roman Coliseum
3,9,Brendan,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré
3,9,Danny,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré
3,9,James,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest"
3,9,John,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion
3,10,Brendan,Potato and Pepper Pithivier,Family Reunion Chiffon Cake
3,10,James,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes
3,10,John,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake
4,1,Ali,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
4,1,Beca,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
4,1,Christine,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake
4,1,Deborah,Pineapple Cake,'Coffee Time'
4,1,Frances,Giant Jam Sandwich,Secret Squirrel Cake
4,1,Glenn,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake
4,1,Howard,Passion Fruit and Coconut Cake,Black Forest Revisited
4,1,Kimberley,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake"
4,1,Lucy,Timperley Early Cake,Thyme 'Wildwood' Cake
4,1,Mark,Lemon and Poppy Seed Cake,Chocolate Monster
4,1,Robert,Pecan and Apple Cake,Raspberry Chocolate Cake
4,1,Ruby,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake
4,1,Toby,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake
4,2,Ali,Italian Grissini,Sweet and Savoury Yin Yang Bread
4,2,Beca,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
4,2,Christine,Mediterranean Breadsticks with Oregano,Double Plaited Loaf
4,2,Deborah,Fennel & Chilli Breadsticks,Walnut Fleur Loaf
4,2,Frances,Giant Matchsticks,Sailor's Knot
4,2,Glenn,Rosemary and Parmesan Grissini,Harvest Crown
4,2,Howard,Moroccan Breadsticks,Picasso Sun Bread
4,2,Kimberley,Nigella Seed and Parmesan Breadsticks,Peace Bread
4,2,Lucy,Grissini with Salt,Roast Tomato Bread
4,2,Mark,Rosemary & Raisin Breadsticks,Sage & Garlic Plait
4,2,Robert,Twisty Rye Bread Sticks,Tribute Loaf
4,2,Ruby,Mexican Breadsticks,White Chocolate and Orange Peacock Bread
4,3,Ali,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
4,3,Beca,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
4,3,Christine,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels
4,3,Deborah,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies
4,3,Frances,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
4,3,Glenn,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers
4,3,Howard,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits
4,3,Kimberley,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits
4,3,Mark,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites
4,3,Robert,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons
4,3,Ruby,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes
4,4,Ali,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
4,4,Beca,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
4,4,Christine,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese
4,4,Frances,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie
4,4,Glenn,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese)
4,4,Howard,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan
4,4,Kimberley,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie"
4,4,Robert,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms
4,4,Ruby,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie"
4,5,Beca,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
4,5,Christine,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower
4,5,Frances,Millionaire Banoffee Bonus,Biscuit Buttons and Beads
4,5,Glenn,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter
4,5,Howard,Breakfast Traybake,Japanese Pagoda Tea Tower
4,5,Kimberley,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack
4,5,Robert,Blueberry & Orange Traybake,Dalek
4,5,Ruby,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece
4,6,Beca,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
4,6,Christine,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød
4,6,Frances,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches
4,6,Glenn,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen
4,6,Howard,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken
4,6,Kimberley,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer
4,6,Ruby,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns
4,7,Beca,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
4,7,Christine,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
4,7,Frances,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
4,7,Glenn,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
4,7,Kimberley,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
4,7,Ruby,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
4,8,Beca,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
4,8,Christine,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
4,8,Frances,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
4,8,Kimberley,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House
4,8,Ruby,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot
4,9,Beca,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
4,9,Frances,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake
4,9,Kimberley,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake
4,9,Ruby,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake"
4,10,Frances,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake
4,10,Kimberley,Chicken and Pig Pie,Languages of Love Wedding Cake
4,10,Ruby,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake"
5,1,Chetna,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
5,1,Claire,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes
5,1,Diana,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises
5,1,Enwezor,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares
5,1,Iain,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon"
5,1,Jordan,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd
5,1,Kate,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges
5,1,Luis,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles
5,1,Martha,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes
5,1,Nancy,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes
5,1,Norman,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes
5,1,Richard,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes
5,2,Chetna,Fenugreek and Carom Crackers,Day On The Beach
5,2,Diana,Parmesan Triangles,"Express, First Class"
5,2,Enwezor,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene
5,2,Iain,Za'atar and Fig Biscuits,Wild West Scene
5,2,Jordan,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack
5,2,Kate,Parmesan and Apple Biscuits,Tea Time
5,2,Luis,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon
